ENCFF016MVN	K562|HDAC1|None
ENCFF633TFF	mammary-epithelial-cell|EZH2|None
ENCFF239NEA	MCF-7|MNT|None
ENCFF151MEY	GM12878|CHD1|None
ENCFF843MEU	K562|MTA1|None
ENCFF428GRM	HEK293|eGFP-ZNF645|None
ENCFF895AOF	HepG2|USF1|None
ENCFF653WEF	K562|CTCFL|None
ENCFF003UXM	K562|MAFF|None
ENCFF407YHS	HepG2|FLAG-KLF6_isoform2|None
ENCFF803HGS	GM12878|EP300|None
ENCFF373WRI	MCF-7|ZBTB11|None
ENCFF216EYM	A549|ATF3|ethanol
ENCFF050OTE	IMR-90|MAZ|None
ENCFF723ODO	MCF-7|TAF1|None
ENCFF751UFO	HepG2|FLAG-DRAP1|None
ENCFF372AVL	GM12878|BCL3|None
ENCFF815RKD	GM12878|SMARCA5|None
ENCFF405XEK	GM12878|UBTF|None
ENCFF013PBU	GM12878|CBFB|None
ENCFF136UPB	K562|ELF4|None
ENCFF848JMT	HepG2|FLAG-ZGPAT|None
ENCFF595VLA	SK-N-SH|RCOR1|None
ENCFF088PUQ	H1-hESC|TAF7|None
ENCFF012KDB	K562|SMAD1|None
ENCFF562ERQ	K562|CREB3L1|None
ENCFF193NHK	HEK293|eGFP-ZNF112|None
ENCFF672AGD	K562|HDAC2|None
ENCFF886AIM	HepG2|U2AF1|None
ENCFF682AFZ	HEK293|eGFP-ZXDB|None
ENCFF069SDW	GM12878|CHD7|None
ENCFF554QVX	HepG2|FLAG-NR2F1|None
ENCFF900OBI	HEK293|eGFP-BCL11A|None
ENCFF073LLC	HEK293|eGFP-ZNF423|None
ENCFF237YVA	HEK293|eGFP-ZNF140|None
ENCFF452QMO	SH-SY5Y|GATA3|None
ENCFF410PQD	K562|eGFP-TSC22D4|None
ENCFF662GRH	A549|CHD1|None
ENCFF768YPD	K562|MBD2|None
ENCFF128CQA	HEK293T|PKNOX1|None
ENCFF270NWL	HEK293|eGFP-ZNF560|None
ENCFF189LCD	MCF-7|DPF2|None
ENCFF207FUE	K562|ATF2|None
ENCFF840OHH	HepG2|TRIM22|None
ENCFF179QAX	Caco-2|CTCF|None
ENCFF838QKQ	HepG2|HCFC1|None
ENCFF896WDG	MCF-7|BMI1|None
ENCFF695KNI	K562|MYC|interferon-alpha
ENCFF895ZGS	K562|eGFP-TEAD2|None
ENCFF409MXQ	MCF-7|CTCF|None
ENCFF532WPD	HEK293|eGFP-TSHZ1|None
ENCFF229UOO	HEK293T|FOXA1|None
ENCFF352VEC	K562|ZNF184|None
ENCFF468JKI	fibroblast-of-lung|CTCF|None
ENCFF209WAQ	A549|USF2|None
ENCFF443TUR	K562|FOXA1|None
ENCFF553BNV	SH-SY5Y|GATA2|None
ENCFF045OQX	GM12878|IKZF1|None
ENCFF214TVS	HepG2|POLR2AphosphoS5|None
ENCFF809ZRK	H1-hESC|CHD2|None
ENCFF900IQG	H1-hESC|CBX2|None
ENCFF374UIH	H1-hESC|POLR2A|None
ENCFF444YLR	HEK293|eGFP-ZNF473|None
